                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.75405,                 1.1257,                0.47187,                0.91303,                0.89852,                0.88688,                0.94266,                0.71161,                0.89852,                0.88688,                0.94266,                 0.6956,                0.90836,                 1.3317,                 0.5581,                 1.0033,              0.0004952,              0.0004952,              0.0004952
                     78,                0.76124,                 1.1489,                0.45386,                0.91929,                 0.9179,                0.85997,                0.93416,                 0.6928,                 0.9179,                0.85997,                0.92803,                0.69433,                0.95313,                 1.4391,                0.59204,                 1.0391,              0.0004754,              0.0004754,              0.0004754
                     79,                0.73758,                 1.0734,                0.44727,                 0.9048,                0.94864,                0.86878,                 0.9517,                0.72293,                0.94864,                0.86878,                0.94678,                 0.7132,                 0.9066,                 1.3738,                0.53948,                 1.0062,              0.0004556,              0.0004556,              0.0004556
                     80,                0.72065,                 1.0961,                 0.4546,                0.90165,                0.91192,                0.89016,                0.94983,                0.71851,                0.94489,                0.85339,                0.94347,                0.71069,                0.92181,                 1.3073,                0.55403,                 1.0128,              0.0004358,              0.0004358,              0.0004358
                     81,                0.73686,                 1.1229,                0.45794,                0.90549,                0.91919,                0.87503,                0.95011,                0.70442,                0.90618,                0.87414,                0.93768,                0.69252,                0.94221,                 1.3257,                0.55489,                 1.0271,               0.000416,               0.000416,               0.000416
                     82,                0.73949,                 1.1111,                0.44569,                0.90747,                0.91404,                0.86603,                0.93659,                0.69343,                0.91404,                0.86603,                0.92753,                0.68855,                0.96927,                 1.3719,                0.57003,                 1.0396,              0.0003962,              0.0003962,              0.0003962
                     83,                0.73294,                 1.0925,                0.44732,                0.91346,                0.91961,                0.88235,                0.94532,                0.71722,                0.93611,                0.86195,                0.93994,                0.69144,                0.94929,                 1.3903,                0.54676,                  1.025,              0.0003764,              0.0003764,              0.0003764
                     84,                0.74202,                 1.0882,                 0.4458,                0.90817,                0.92508,                 0.8939,                0.93527,                0.71112,                0.92034,                0.88869,                0.93238,                0.69139,                 0.9236,                  1.456,                0.53649,                 1.0044,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.7334,                 1.1025,                0.44248,                0.90966,                 0.9501,                0.84163,                0.93959,                0.71195,                0.94789,                 0.8371,                0.93904,                0.70006,                0.92776,                 1.4045,                0.55743,                 1.0234,              0.0003368,              0.0003368,              0.0003368
                     86,                0.72368,                 1.1081,                0.45256,                0.90986,                0.93055,                0.86425,                0.94068,                0.70445,                0.93107,                0.86425,                 0.9396,                0.68668,                0.92359,                 1.4041,                0.55501,                 1.0144,               0.000317,               0.000317,               0.000317
                     87,                  0.729,                 1.1262,                0.45448,                0.90492,                0.89408,                 0.9095,                0.93534,                0.71961,                0.92755,                0.86895,                 0.9339,                0.68905,                0.89822,                 1.4014,                0.55526,                 1.0006,              0.0002972,              0.0002972,              0.0002972
                     88,                0.72992,                 1.0904,                0.43683,                0.89748,                0.93569,                0.85594,                 0.9405,                0.71415,                0.93569,                0.85594,                0.93905,                0.69904,                0.89665,                 1.4256,                0.55565,                 1.0061,              0.0002774,              0.0002774,              0.0002774
                     89,                0.69306,                 1.0637,                0.41827,                0.89325,                0.93148,                0.85068,                0.94557,                0.70956,                0.93112,                 0.8563,                0.94377,                 0.7043,                0.90801,                 1.3398,                0.54679,                 1.0112,              0.0002576,              0.0002576,              0.0002576
                     90,                0.70044,                 1.0661,                0.41685,                0.89444,                0.93131,                0.85891,                0.94437,                0.71503,                0.91089,                0.87886,                0.94425,                0.71076,                0.90989,                 1.3304,                0.54326,                  1.011,              0.0002378,              0.0002378,              0.0002378
                     91,                0.66376,                 1.0364,                0.40008,                0.87811,                0.94365,                 0.8552,                0.92942,                0.69359,                0.94881,                0.85973,                0.93702,                0.68559,                0.91411,                 1.4083,                0.54674,                   1.01,               0.000218,               0.000218,               0.000218
                     92,                0.64367,                 1.0043,                0.38168,                0.88311,                0.94113,                0.86802,                0.94081,                 0.7014,                0.94113,                0.86802,                0.93662,                0.68742,                0.91281,                 1.4279,                0.55081,                 1.0112,              0.0001982,              0.0001982,              0.0001982
                     93,                0.63629,                0.99478,                0.37798,                0.86697,                  0.933,                0.86425,                0.93822,                0.71023,                0.93655,                0.86822,                0.93672,                 0.6944,                0.90627,                 1.4273,                0.55021,                 1.0092,              0.0001784,              0.0001784,              0.0001784
                     94,                0.64547,                0.99946,                0.37641,                0.87923,                0.94728,                0.86878,                0.94787,                0.71446,                0.94728,                0.86878,                0.94199,                0.69435,                0.92632,                 1.4359,                0.55779,                 1.0135,              0.0001586,              0.0001586,              0.0001586
                     95,                0.63095,                0.98925,                0.36781,                0.85861,                0.95275,                0.86425,                0.94619,                0.71908,                0.95519,                0.86878,                0.94278,                0.70363,                0.90795,                 1.4298,                0.53528,                 1.0024,              0.0001388,              0.0001388,              0.0001388
                     96,                0.63076,                  0.987,                  0.365,                0.87206,                0.95582,                0.84615,                0.94744,                0.71491,                0.94353,                0.85973,                0.94265,                0.69981,                0.90413,                  1.414,                0.54161,                 1.0027,               0.000119,               0.000119,               0.000119
                     97,                 0.6216,                0.98214,                0.36091,                0.85685,                0.94148,                 0.8736,                0.95195,                 0.7187,                0.94097,                 0.8733,                0.94371,                0.69827,                 0.9077,                 1.4078,                0.54609,                 1.0081,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.60387,                 0.9776,                0.35781,                0.86195,                0.91938,                0.88235,                0.94247,                0.71516,                0.93643,                 0.8665,                 0.9408,                0.69204,                0.92081,                 1.4247,                0.55569,                   1.01,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.62248,                0.98667,                0.36321,                0.86446,                0.92421,                0.88288,                0.94729,                0.71911,                0.94572,                 0.8673,                0.94432,                0.69898,                0.90828,                 1.3992,                0.55686,                0.99911,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.60713,                0.98127,                 0.3574,                0.85552,                0.94095,                0.86526,                0.94739,                0.71543,                 0.9407,                0.86139,                0.94249,                0.69416,                 0.9086,                 1.4404,                 0.5522,                 1.0015,               3.98e-05,               3.98e-05,               3.98e-05
